id,name,kana,city,type,dish,hours,closed,status,blog,parking,slug,lat,lng
53,白川うどん,しらかわ,善通寺市,セルフ,,9:30〜15:00（売り切れ次第終了）,火曜（祝日は営業・翌日休）・第3水曜,,https://kagawan.com/sirakawaudon/,あり（30台）,sirakawaudon,34.224375,133.802423
54,本格手打 あかみち,あかみち,善通寺市,一般,,10:00〜15:00（玉切れ次第終了）※一部土曜は夜18:00〜20:00,水・木曜,,https://kagawan.com/akamichi/,あり（25台）,akamichi,34.235913,133.814352
55,セルフうどん こだわり八輻,こだわりやわら,善通寺市,セルフ,,11:00〜14:00,火・金曜,,https://kagawan.com/hachiya/,あり（30台）,hachiya,34.224817,133.772244
56,あやうた製麺,あやうた,丸亀市,セルフ,,11:00〜14:00,金曜,,https://kagawan.com/ayautaseimen/,あり（25台）,ayautaseimen,34.232359,133.841789
57,麦香うどん,むぎか,丸亀市,一般,,10:00〜15:00,水曜,,https://kagawan.com/bakuka-udon/,あり（15台）,bakuka-udon,34.216512,133.857769
58,讃岐うどん海侍其の壱,かいじ,丸亀市,セルフ,,9:00〜14:00,月曜（祝日は翌火曜）,,https://kagawan.com/kaiji/,あり（店舗横）,kaiji,34.269066,133.870847
59,純手打うどん よしや,よしや,丸亀市,セルフ,,7:00〜14:50（売り切れ次第終了）,火曜,,https://kagawan.com/jyunteuchiudon-yoshiya/,あり（15台）,jyunteuchiudon-yoshiya,34.265744,133.838615
60,セルフうどん おかだ,おかだ,丸亀市,セルフ,,飲食 10:30〜14:00／土産 9:00〜17:00,土・日・祝,,https://kagawan.com/selfudonokada/,あり（33台）,selfudonokada,34.264436,133.833273
61,なかむらうどん,なかむら,丸亀市,セルフ,,9:00〜14:00,火曜,,https://kagawan.com/hiragana-nakamuraudon/,あり（40台）,hiragana-nakamuraudon,34.260443,133.835753
62,麺処 綿谷 丸亀店,わたや,丸亀市,セルフ,,8:30〜14:00（売り切れ次第終了）,日曜・祝日,,https://kagawan.com/wataya/,あり（50台）,wataya-62,34.296312,133.796160
63,元祖しょうゆうどん 小縣家,おがたや,まんのう町,一般,,10:30〜14:30,月・火曜,,https://kagawan.com/ogataya/,あり（40台）,ogataya,34.185367,133.858997
64,谷川米穀店,たにがわ,まんのう町,セルフ,,10:30〜13:30,日曜,,https://kagawan.com/tanikawabeikokuten/,あり,tanikawabeikokuten,34.111362,133.976358
