id,name,kana,city,type,dish,hours,closed,status,blog,parking,slug,lat,lng
181,マルタニ製麺,まるたにせいめん,高松市,セルフ,,9:30〜14:00,月曜日,,,あり,marutaniseimen,34.289364,134.011393
182,まいどまいど,まいどまいど,坂出市,セルフ,,10:00〜14:00,土曜日・日曜日・祝日,,,あり,maidomaido,34.282729,133.854056
183,さぬきうどん麺処 とらや,とらや,坂出市,一般,,11:00〜14:00（土日祝は15:00まで）,木曜日,,,あり,toraya,34.324420,133.843368
184,うどん屋 まつはま,うどんや まつはま,高松市,一般,,10:30〜14:00,不定休,,,あり,matsuhama,34.312754,134.091424
185,ふるかわうどん,ふるかわうどん,高松市,セルフ,,10:00〜14:00,日曜日・祝日,,,あり,furukawaudon,34.317800,134.070668
186,大島うどん,おおしまうどん,高松市,セルフ,,10:00〜14:30（玉切れ次第終了）,第1・第3木曜日,,,あり,ooshimaudon,34.302253,134.041848
187,うどん処 ごっと,うどんどころ ごっと,三木町,セルフ,,8:00～14:00,火曜日,,,あり,udondokorogotto,34.346628,134.053563
188,うどん市場 兵庫町店,うどんいちば ひょうごまちてん,高松市,セルフ,,10:00～20:00,無休,,,なし,udonichiba-hyogomachi,34.346450,134.048800
189,うどん市場 めんくい,うどんいちば めんくい,高松市,セルフ,,10:00～14:00,日曜日,,,あり,udonichiba-menkui,34.340460,134.054951
190,さぬき麺市場 高松郷東店,さぬきめんいちば たかまつごうとうてん,高松市,セルフ,,6:00～20:00,無休,,,あり,sanukimenichiba-takamatsugoto,34.345007,134.016432
191,さぬき麺市場 伏石店,さぬきめんいちば ふせいしてん,高松市,セルフ,,9:00～20:00,無休,,,あり,sanukimenichiba-fuseishi,34.307046,134.062665
192,さぬき麺市場 高松中央インター林店,さぬきめんいちば たかまつちゅうおういんたーはやしてん,高松市,セルフ,,9:00～20:00,無休,,,あり,sanukimenichiba-hayashi,34.297675,134.073010
193,味庄,あじしょう,高松市,セルフ,,5:00～15:00,土曜日・日曜日・祝日,,,なし,ajisho,34.349847,134.046116
194,うどん棒 高松本店,うどんぼう たかまつほんてん,高松市,一般,,11:00～15:00,水曜日,,,なし,udonbo,34.339494,134.048363
195,讃岐うどん えん家,さぬきうどん えんや,高松市,一般,,10:00～15:00,火曜日,,,なし,enya,34.345826,134.053345
196,讃岐麺処 山岡,さぬきめんどころ やまおか,観音寺市,一般,,10:00～15:00,金曜日,,,あり,yamaoka,34.130143,133.692107
197,手打ちうどん 丸亀渡辺,てうちうどん まるがめわたなべ,丸亀市,一般,,11:00～17:00,木曜日,,,あり,marugamewatanabe,34.286317,133.817954
198,石川うどん,いしかわうどん,丸亀市,一般,,平日 11:00〜14:00｜土日11:00〜15:00,火曜日,,,なし,ishikawaudon,34.293230,133.793718
199,たも屋 本店,たもや ほんてん,高松市,セルフ,,8:00～15:00,無休,,,あり,tamoya-honten,34.357022,134.064242
200,たも屋 林店,たもや はやしてん,高松市,セルフ,,8:00～15:00,無休,,,あり,tamoya-hayashi,34.293563,134.063368
201,たも屋 三条店,たもや さんじょうてん,高松市,セルフ,,8:00～15:00,水曜日,,,あり,tamoya-sanjo,34.316513,134.046380
202,たも屋 勅使店,たもや ちょくしてん,高松市,セルフ,,8:00～15:00,木曜日,,,あり,tamoya-chokushi,34.306206,134.025626
203,セルフうどん 喰うかい,せるふうどん くうかい,丸亀市,セルフ,,6:30～13:30,水曜日・月末の火曜日,,,あり,selfudonkukai,34.296361,133.793814
204,手打ちうどん 喰回,てうちうどん くうかい,三豊市,一般,,10:30～18:00,水曜日,,,あり,teuchiudonkukai,34.209359,133.714313
205,郷屋敷本店,ごうやしき ほんてん,高松市,一般,,11:00～15:00・17:30～21:00,年末年始,,,あり,goyashiki-honten,34.330395,134.135855
206,郷屋敷 サンポート店,ごうやしき さんぽーとてん,高松市,一般,,11:00～15:00・17:00～21:00,1月1日,,,なし,goyashiki-sunport,34.352353,134.047513
207,さぬき麺業 兵庫町店,さぬきめんぎょう ひょうごまちてん,高松市,一般,,11:00～20:30,無休,,,なし,sanukimengyo-hyogomachi,34.346062,134.049439
208,さぬき麺業 松並店,さぬきめんぎょう まつなみてん,高松市,一般,,8:00～18:00,無休,,,あり,sanukimengyo-matsunami,34.319394,134.031231
209,いしうす庵レインボー店,いしうすあん れいんぼーてん,高松市,一般,,10:00～15:00,無休,,,あり,ishiusuan,34.319314,134.062906
210,さぬき一番 一宮店,さぬきいちばん いちのみやてん,高松市,一般,,10:00～21:00,月曜日,,,あり,sanukiichibanichinomiya,34.287710,134.033008
211,セルフうどん キリン,せるふうどん きりん,高松市,セルフ,,8:00～17:00,無休,,,あり,kirin,34.335532,134.097476
212,柳川 本店,やながわ ほんてん,観音寺市,一般,,8:30～15:00,木曜日,,,あり,yanagawa-honten,34.128517,133.647348
213,時とまるudon,ときとまる うどん,丸亀市,一般,,10:00～14:30（土日祝は9:30～）,水曜日,,,あり,tokitomaruudon,34.250769,133.871831
214,讃岐うどん 麺賊,さぬきうどん めんぞく,善通寺市,セルフ,,11:00～20:00,不定休,,,あり,menzoku,34.227377,133.782311
215,香川屋 本店,かがわや ほんてん,綾川町,セルフ,,10:00～16:00,月曜日・火曜日,,,あり,kagawayahonten,34.249225,133.929949
216,うどん一屋 丸亀三条店,うどんいちや まるがめさんじょうてん,丸亀市,セルフ,,6:00～15:00,無休,,,あり,udonichiya,34.248867,133.808908
217,手打ちうどん 山下,てうちうどんやました,高松市,一般,,11:30〜14:00,日曜日,,,あり,teuchiudonyamashita,34.300786,133.940055
218,セルフうどん麺太郎,せるふうどん めんたろう,宇多津町,セルフ,,9:00～14:30,木曜日,,,あり,mentaro,,
219,ぶっかけうどん 大円,ぶっかけうどん だいえん,高松市,一般,,11:00～15:00,火曜日,,,あり,daien,,
220,セルフうどん かすが町市場,かすがちょういちば,高松市,セルフ,,8:00〜17:00,無休,,,あり,kasugachoichiba,,
221,うどん武蔵,うどん むさし,観音寺市,セルフ,,8:30〜15:00,年中無休,,,あり,udon-musashi,,
222,武蔵 詫間店,むさし たくまてん,三豊市,セルフ,,9:00〜15:00,日曜日,,,あり,musashi-takuma,,
223,将八うどん 観音寺本店,しょうはちうどん かんおんじほんてん,観音寺市,一般,,10:00〜20:00,年中無休,,,あり,shohachiudon-kanonjihonten,,
224,将八うどん 豊中店,しょうはちうどん とよなかてん,三豊市,セルフ,,9:00～15:00,火曜日,,,あり,shohachiudon-toyonaka,,
225,讃岐将八うどん｜豊浜SA下り,さぬきしょうはちうどん とよはまさーびすえりあくだり,観音寺市,セルフ,,平日11:00〜20:00・土曜日11:00〜21:00・日曜日10:00〜20:00,年中無休,,,あり,sanukishohachiudon-toyohama,,
226,手打うどん 竹寅,てうちうどん たけとら,丸亀市,一般,,10:00〜15:30,金曜日,,,あり,taketora,,
227,まるやうどん,まるやうどん,善通寺市,セルフ,,平日6:00～15:00、16:30〜20:00・土日6:00～15:00,年中無休,,,あり,maruyaudon,,
228,手打ちうどん つよ志,てうちうどん つよし,丸亀市,セルフ,,7:00～14:00,月曜日（祝日は営業・翌日休み）,,,あり,tsuyoshi,,
229,うどん てら屋 檀紙店,うどん てらや だんししてん,高松市,セルフ,,9:00～14:00,年中無休,,,あり,teraya-danshi,,
230,うどん てら屋 国分寺店,うどん てらや こくぶんじてん,高松市,セルフ,,9:00～14:30,木曜日,,,あり,teraya-kokubunji,,
231,こだわり麺や 高松店,こだわりめんや たかまつてん,高松市,セルフ,,6:30～15:00,第3水曜日,,,あり,kodawarimenya-takamatsu,,
232,こだわり麺や フレスポ高松店,こだわりめんや ふれすぽたかまつてん,高松市,セルフ,,6:30～15:00,第3水曜日,,,あり,kodawarimenya-frespo-takamatsu,,
233,こだわり麺や 高松郷東店,こだわりめんや たかまつごうとうてん,高松市,セルフ,,6:30～15:00,第3水曜日,,,あり,kodawarimenya-takamatsugoto,,
234,こだわり麺や 国分寺店,こだわりめんや こくぶんじてん,高松市,セルフ,,6:30～15:00,第3水曜日,,,あり,kodawarimenya-kokubunji,,
235,こだわり麺や 綾南店,こだわりめんや りょうなんてん,綾川町,セルフ,,6:30～15:00,第3水曜日,,,あり,kodawarimenya-ryonan,,
236,こだわり麺や 丸亀田村店,こだわりめんや まるがめたむらてん,丸亀市,セルフ,,6:30～15:00,第3水曜日,,,あり,kodawarimenya-marugametamura,,
237,こだわり麺や フジグラン丸亀店,こだわりめんや ふじぐらんまるがめてん,丸亀市,セルフ,,9:00～20:00,無休（施設に準ずる）,,,あり,kodawarimenya-fujigrand-marugame,,
238,こだわり麺や 坂出鴨川店,こだわりめんや さかいでかもがわてん,坂出市,セルフ,,6:30～15:00,第3水曜日,,,あり,kodawarimenya-sakaidekamogawa,,
239,こだわり麺や 坂出林田店,こだわりめんや さかいではやしだてん,坂出市,セルフ,,6:30～15:00,第3水曜日,,,あり,kodawarimenya-sakaidehayashida,,
240,こだわり麺や 坂出川津店,こだわりめんや さかいでかわつてん,坂出市,セルフ,,6:30～15:00,第3水曜日,,,あり,kodawarimenya-sakaidekawatsu,,
241,こだわり麺や 宇多津店,こだわりめんや うたづてん,宇多津町,セルフ,,6:30～15:00,第3水曜日,,,あり,kodawarimenya-utazu,,
242,こだわり麺や 善通寺店,こだわりめんや ぜんつうじてん,善通寺市,セルフ,,6:30～15:00,第3水曜日,,,あり,kodawarimenya-zentsuji,,
243,こだわり麺や 観音寺店,こだわりめんや かんおんじてん,観音寺市,セルフ,,6:30～15:00,第3水曜日,,,あり,kodawarimenya-kanonji,,
244,こだわり麺や サンポート高松店,こだわりめんや さんぽーとたかまつてん,高松市,セルフ,,11:00～14:00,無休（施設に準ずる）,,,なし,kodawarimenya-sunporttakamatsu,,
